,YEAR,temp_mean
0,1901,28.99583333333334
1,1902,29.218333333333334
2,1903,28.62833333333333
3,1904,28.4875
4,1905,28.528333333333332
5,1906,28.7175
6,1907,28.77416666666667
7,1908,28.830000000000002
8,1909,28.509166666666662
9,1910,28.52916666666667
10,1911,28.60833333333333
11,1912,28.9475
12,1913,28.680000000000003
13,1914,28.663333333333338
14,1915,28.941666666666663
15,1916,28.816666666666663
16,1917,28.135833333333334
17,1918,28.65833333333333
18,1919,28.65833333333333
19,1920,28.757499999999993
20,1921,29.056666666666672
21,1922,28.958333333333332
22,1923,28.74166666666667
23,1924,28.78916666666667
24,1925,28.6675
25,1926,28.701666666666668
26,1927,28.586666666666662
27,1928,28.97583333333333
28,1929,28.763333333333335
29,1930,28.65083333333334
30,1931,29.147499999999997
31,1932,29.095833333333335
32,1933,28.49166666666667
33,1934,29.025833333333328
34,1935,28.81833333333333
35,1936,28.709166666666665
36,1937,28.701666666666664
37,1938,28.69583333333333
38,1939,28.853333333333335
39,1940,28.883333333333336
40,1941,29.4825
41,1942,29.0925
42,1943,28.828333333333333
43,1944,28.899999999999995
44,1945,28.974999999999994
45,1946,29.353333333333335
46,1947,29.106666666666666
47,1948,28.718333333333337
48,1949,28.890833333333333
49,1950,28.49
50,1951,29.11333333333333
51,1952,29.162499999999994
52,1953,29.442500000000006
53,1954,28.9225
54,1955,28.75666666666667
55,1956,28.624166666666667
56,1957,28.644999999999996
57,1958,29.336666666666673
58,1959,29.024999999999995
59,1960,29.31
60,1961,28.721666666666668
61,1962,28.888333333333332
62,1963,29.036666666666665
63,1964,29.092499999999998
64,1965,29.15583333333333
65,1966,29.405833333333337
66,1967,29.144166666666674
67,1968,29.071666666666673
68,1969,29.6125
69,1970,29.468333333333334
70,1971,29.154166666666665
71,1972,29.31583333333333
72,1973,29.44
73,1974,29.26
74,1975,28.89166666666667
75,1976,29.26666666666667
76,1977,29.406666666666666
77,1978,29.2325
78,1979,29.63166666666667
79,1980,29.58333333333333
80,1981,29.31583333333333
81,1982,29.11333333333333
82,1983,29.11583333333333
83,1984,29.27666666666666
84,1985,29.606666666666666
85,1986,29.340833333333336
86,1987,29.735
87,1988,29.567500000000006
88,1989,29.1975
89,1990,29.155000000000005
90,1991,29.331666666666663
91,1992,29.2375
92,1993,29.547500000000003
93,1994,29.4575
94,1995,30.186666666666664
95,1996,29.6825
96,1997,29.179166666666664
97,1998,29.65583333333333
98,1999,29.80916666666667
99,2000,29.735
100,2001,30.05
101,2002,30.3325
102,2003,29.728333333333335
103,2004,29.840000000000003
104,2005,29.599166666666672
105,2006,30.011666666666667
106,2007,29.84416666666667
107,2008,29.637500000000003
108,2009,30.298333333333336
109,2010,30.133333333333336
110,2011,29.81416666666667
111,2012,29.812499999999996
112,2013,29.80583333333333
113,2014,29.723333333333333
114,2015,29.895000000000007
115,2016,31.63333333333334
116,2017,31.417500000000004
